n_api_calls,suspicious_getCellLocation,perm_android_permission_READ_PHONE_STATE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_CHANGE_WIFI_STATE,n_permissions,n_providers,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_GET_TASKS,perm_android_permission_ACCESS_FINE_LOCATION,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_android_c2dm_intent_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,n_activities,suspicious_getSubscriberId,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_WRITE_SETTINGS,intent_android_intent_action_USER_PRESENT,n_services,intent_com_facebook_sdk_ACTION_CURRENT_ACCESS_TOKEN_CHANGED,intent_android_appwidget_action_APPWIDGET_CONFIGURE,intent_com_google_android_gms_analytics_ANALYTICS_DISPATCH,n_used_permissions,n_urls,n_receivers,perm_com_android_vending_BILLING,label
52,1,1,1,1,1,22,0,1,1,1,0,0,0,0,0,0,41,1,0,1,1,6,0,0,0,15,116,3,0,0
40,1,1,1,0,1,20,1,1,1,1,0,0,0,0,0,0,52,1,0,1,0,0,0,0,0,13,108,1,0,0
48,1,1,1,0,0,25,0,1,1,1,0,0,0,0,0,0,50,1,0,1,0,6,0,0,0,15,112,6,0,1
44,1,1,1,1,1,20,0,1,0,1,0,0,0,0,0,0,54,1,1,1,0,1,0,0,0,13,114,0,0,1
48,0,1,0,1,1,21,0,1,1,0,0,0,0,0,0,0,41,0,0,0,0,1,0,0,0,13,116,0,0,0
49,1,1,1,1,1,25,1,1,1,1,0,0,0,0,0,0,50,1,0,1,1,12,0,0,0,15,110,5,0,1
46,1,1,1,0,1,17,9,1,0,1,1,0,1,1,1,1,32,1,1,0,0,9,1,0,0,16,107,5,0,0
44,0,1,1,0,0,22,8,1,1,1,1,1,1,1,1,1,47,0,0,0,0,9,1,0,0,16,96,7,1,0
40,0,0,0,0,0,7,1,0,0,1,0,0,1,1,0,0,38,0,0,0,0,10,0,0,0,11,118,3,0,0
40,0,0,0,0,0,6,1,0,0,0,0,0,1,1,0,0,38,0,0,0,0,10,0,0,0,11,118,3,0,0
59,1,1,1,0,1,12,0,1,1,1,0,0,0,0,0,0,28,0,0,0,1,6,0,0,0,15,105,12,0,1
48,1,0,0,0,0,10,5,1,0,0,1,1,1,1,1,1,35,1,0,0,0,19,1,0,1,16,98,11,0,0
40,0,0,0,0,0,7,1,0,0,1,0,0,1,1,0,0,40,0,0,0,0,10,0,0,0,11,120,3,0,0
40,0,0,0,0,0,6,1,0,0,0,0,0,1,1,0,0,40,0,0,0,0,10,0,0,0,11,120,3,0,0
42,1,1,0,1,0,11,0,1,1,0,0,0,0,0,0,0,36,1,0,1,0,5,0,0,0,12,91,0,0,1
44,0,0,1,0,1,19,1,1,0,1,0,0,1,1,0,0,53,0,0,0,1,2,0,0,0,11,91,3,0,0
38,0,0,0,0,0,9,1,0,0,1,0,0,1,1,0,0,36,0,0,0,0,10,0,0,0,11,115,3,0,0
52,1,0,0,0,0,7,6,1,0,0,1,1,1,1,1,0,34,0,0,0,0,8,1,0,1,14,122,8,1,0
40,0,0,0,0,0,6,1,0,0,0,0,0,1,1,0,0,41,0,0,0,0,9,0,0,0,11,121,3,0,0
44,0,0,0,0,0,6,2,1,0,0,0,0,1,1,0,0,29,0,0,0,0,3,0,0,0,11,97,3,0,1
58,0,1,1,0,0,23,0,0,0,1,0,0,1,1,0,0,58,0,0,1,0,10,0,0,0,17,113,6,0,0
33,0,0,0,0,0,9,4,1,0,0,0,0,1,0,1,0,41,1,0,0,0,6,0,0,0,12,101,10,1,0
45,1,1,1,1,1,25,1,1,1,1,0,0,0,0,0,0,47,1,1,1,0,3,0,0,0,13,95,4,0,0
37,1,1,0,0,1,11,4,1,0,1,0,0,0,0,1,0,33,0,0,0,0,3,1,0,0,16,111,5,1,0
40,0,0,0,0,0,7,1,0,0,1,0,0,1,1,0,0,40,0,0,0,0,9,0,0,0,11,121,3,0,0
40,0,0,0,0,0,6,1,0,0,0,0,0,1,1,0,0,40,0,0,0,0,9,0,0,0,11,121,3,0,0
40,0,0,0,0,0,6,1,0,0,0,0,0,1,1,0,0,40,0,0,0,0,9,0,0,0,11,121,3,0,0
40,0,0,0,0,0,6,1,0,0,0,0,0,1,1,0,0,40,0,0,0,0,9,0,0,0,11,121,3,0,0
38,1,1,1,1,1,19,0,1,0,1,0,0,0,0,0,0,44,1,0,0,1,1,0,0,0,10,97,1,0,1
36,0,0,1,0,0,15,4,1,1,0,1,1,1,1,1,1,49,0,0,0,0,10,1,0,0,16,116,7,1,0
