top_k,cumulative_ig,cumulative_mi,mean_ig,mean_mi,worst_ig_in_batch,worst_mi_in_batch,ig_gain,mi_gain,mean_ig_change
10300,7.113080885852828,4.930411961202378,0.0006905903772672648,0.00047868077293226967,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306630992,-3.1526675534548692e-06
10350,7.11529556229328,4.931947057933041,0.0006874681702698822,0.00047651662395488317,4.429352880902515e-05,3.07019346132604e-05,0.002214676440452479,0.0015350967306630992,-3.1222069973826016e-06
10400,7.117510238733732,4.933482154663705,0.0006843759844936281,0.0004743732841022793,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306639873,-3.0921857762540843e-06
10450,7.119724915174182,4.935017251394368,0.0006813133890118835,0.00047225045467888684,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306630992,-3.062595481744608e-06
10500,7.121939591614633,4.93655234812503,0.0006782799611061555,0.0004701478426785743,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.001535096730662211,-3.033427905727937e-06
10550,7.124154268055084,4.938087444855694,0.000675275286071572,0.0004680651606498288,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306639873,-3.0046750345835965e-06
10600,7.126368944495537,4.939622541586355,0.0006722989570278809,0.0004660021265647505,4.429352880902515e-05,3.07019346132604e-05,0.002214676440453367,0.0015350967306613228,-2.9763290436910774e-06
10650,7.128583620935987,4.941157638317018,0.0006693505747357734,0.0004639584636917388,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404498143,0.0015350967306630992,-2.9483822921074886e-06
10700,7.130798297376438,4.9426927350476815,0.0006664297474183586,0.0004619339004717459,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306630992,-2.9208273174147767e-06
10750,7.133012973816889,4.944227831778345,0.0006635360905876176,0.00045992817039798556,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-2.893656830740962e-06
10800,7.135227650257342,4.945762928509008,0.0006606692268756798,0.0004579410118989822,4.429352880902515e-05,3.07019346132604e-05,0.002214676440452479,0.0015350967306630992,-2.866863711937823e-06
10850,7.137442326697793,4.947298025239671,0.0006578287858707644,0.0004559721682248545,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-2.8404410049154673e-06
10900,7.139657003138243,4.948833121970334,0.000655014403957637,0.0004540213873367279,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404498143,0.0015350967306630992,-2.8143819131273883e-06
10950,7.141871679578694,4.950368218700997,0.0006522257241624378,0.0004520884217991778,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306630992,-2.788679795199178e-06
11000,7.144086356019145,4.95190331543166,0.0006494623960017405,0.00045017302867560546,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404515906,0.0015350967306630992,-2.76332816069732e-06
11050,7.146301032459598,4.953438412162323,0.0006467240753357102,0.0004482749694264546,4.429352880902515e-05,3.07019346132604e-05,0.002214676440452479,0.0015350967306630992,-2.738320666030255e-06
11100,7.148515708900049,4.954973508892986,0.0006440104242252296,0.00044639400981017895,4.429352880902515e-05,3.07019346132604e-05,0.0022146764404507024,0.0015350967306630992,-2.713651110480635e-06
11150,7.150618642941745,4.956431151695794,0.0006413110890530713,0.00044452297324625955,4.034694542492945e-05,2.7966371467047155e-05,0.0021029340416962583,0.0014576428028076904,-2.6993351721582527e-06
11200,7.152552736238658,4.957771763011921,0.0006386207800213087,0.0004426581931260644,3.648535979622336e-05,2.5289724297198127e-05,0.0019340932969127422,0.0013406113161273936,-2.6903090317625987e-06
11250,7.154267218862635,4.958960151809638,0.0006359348638989009,0.00044079645793863447,3.24309748214735e-05,2.2479438780540926e-05,0.0017144826239769984,0.0011883887977166552,-2.685916122407853e-06
