cluster_id,anchor_index,n_samples,class_0,class_1,base_entropy,n_selected_features,n_selected_features_raw,n_selected_features_analysis,threshold_pass_count,used_fallback,selection_mode,mean_reduction_ratio,mean_conditional_entropy
61,55043,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
62,34629,50,48,2,0.24229218908241482,0,30,0,0,True,fallback_top_k,0.007182830248013788,0.24055184541781624
63,62354,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
64,21594,50,43,7,0.584238811642856,0,30,0,0,True,fallback_top_k,0.004615031299742766,0.5815425312405996
65,7957,50,49,1,0.14144054254182067,28,28,28,28,False,threshold_top_k,0.03355534829046022,0.1366944558744382
66,3278,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
67,27743,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
68,10473,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
69,47559,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
70,47273,50,49,1,0.14144054254182067,2,2,2,2,False,threshold_top_k,0.008424152998636483,0.1402490257712382
71,23392,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
72,74669,50,49,1,0.14144054254182067,0,30,0,0,True,fallback_top_k,0.0016909183698883444,0.1412013781301897
73,35618,50,18,32,0.9426831892554922,5,5,5,5,False,threshold_top_k,0.009157271669241756,0.9340507831934521
74,37291,50,50,0,-0.0,0,30,0,0,True,fallback_top_k,0.0,0.0
