intent_com_igexin_sdk_action_refreshls,perm_android_permission_SEND_SMS,suspicious_sendTextMessage,perm_android_permission_UPDATE_APP_OPS_STATS,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_com_getui_gtc_sdk_service_action,n_api_calls,perm_android_permission_WRITE_SMS,intent_com_getui_gis_action_64kVIzqls49c7TJxrBbWG4,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_WRITE_SETTINGS,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_GET_TASKS,perm_com_android_launcher2_permission_READ_SETTINGS,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_READ_SMS,intent_com_android_vending_INSTALL_REFERRER,n_permissions,perm_android_permission_RECEIVE_MMS,perm_android_permission_MODIFY_PHONE_STATE,intent_com_igexin_sdk_action_service_message,perm_android_permission_READ_LOGS,perm_com_android_launcher_permission_WRITE_SETTINGS,perm_android_permission_INTERACT_ACROSS_USERS,intent_com_google_firebase_INSTANCE_ID_EVENT,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_wifi_intent_action_SDK_RESULT,n_urls,intent_com_google_firebase_MESSAGING_EVENT,label
0,0,0,0,0,1,0,49,0,0,1,1,0,1,0,0,0,0,36,0,0,0,0,0,0,0,1,0,221,0,0
0,0,0,0,0,0,0,42,0,0,0,0,1,0,0,1,0,1,21,0,0,0,0,0,0,1,0,0,203,1,0
0,1,1,0,1,0,0,44,0,0,1,0,1,0,0,1,1,1,29,0,0,0,0,0,0,1,1,0,195,1,0
0,1,1,0,0,0,0,63,0,0,1,1,1,1,0,1,1,1,46,0,0,0,0,0,0,1,1,0,196,1,1
0,0,0,0,0,1,0,63,0,0,1,1,0,1,0,0,0,0,22,0,0,0,1,0,0,0,0,0,212,0,0
0,0,0,0,0,0,0,51,0,0,1,1,1,0,0,1,0,1,36,0,0,0,0,0,0,0,1,0,184,0,0
0,1,1,0,0,0,0,39,1,0,1,1,0,0,0,0,1,0,24,0,0,0,1,0,0,0,0,0,193,0,0
0,0,1,0,0,1,0,93,0,0,1,1,1,0,0,1,1,1,30,0,0,0,0,0,0,1,0,0,233,1,1
0,0,0,0,0,1,0,45,0,0,1,0,1,1,0,1,0,1,31,0,0,0,1,0,0,1,0,0,273,1,0
0,0,0,0,0,0,0,26,0,0,1,0,1,1,0,1,0,1,22,0,0,0,0,0,0,1,0,0,241,1,1
0,1,0,0,0,1,0,83,0,0,1,1,0,1,0,0,1,0,41,0,0,0,1,0,0,0,0,0,209,0,0
0,0,0,0,1,0,0,39,0,0,1,1,0,1,0,0,1,0,33,0,0,0,0,0,0,0,1,0,269,0,0
0,0,0,0,1,1,0,80,0,0,1,1,0,1,0,0,0,0,45,0,0,0,1,0,0,0,1,0,256,0,0
0,0,0,0,0,1,0,68,0,0,1,1,0,1,0,0,0,0,36,0,0,0,1,0,0,0,1,0,263,0,1
1,1,0,0,0,1,0,81,0,0,1,1,0,1,0,0,1,0,55,0,0,1,1,0,1,0,0,0,233,0,1
0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,226,0,0
0,0,0,0,0,0,0,47,0,0,0,0,1,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,212,0,0
0,0,0,0,0,0,0,47,0,0,1,0,0,1,0,0,0,0,38,0,0,0,0,0,1,0,0,0,186,0,0
0,0,0,0,0,1,0,32,0,0,1,1,0,1,0,0,1,0,43,0,0,0,1,0,0,0,0,0,220,0,0
0,0,1,0,0,1,0,35,0,0,1,1,0,1,0,0,0,0,28,0,0,0,1,0,0,0,0,0,232,0,0
0,0,1,0,0,1,0,42,0,0,0,1,0,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,213,0,0
0,0,1,0,0,1,0,37,0,0,1,1,0,1,0,0,1,0,47,0,0,0,1,0,0,0,0,0,222,0,0
0,0,0,0,1,0,0,86,0,0,1,1,1,1,0,0,1,0,37,0,0,0,1,0,0,0,1,0,268,0,0
0,0,0,0,0,0,0,30,0,0,0,0,1,0,0,1,0,1,49,0,0,0,0,1,0,1,0,0,215,1,0
0,0,0,0,0,0,0,34,0,0,0,0,1,0,0,1,0,1,34,0,0,0,0,0,0,1,0,0,236,1,0
0,0,0,0,0,0,0,56,0,0,1,0,1,1,0,1,0,0,26,0,0,0,0,0,0,0,0,0,187,0,1
0,0,1,0,0,1,0,34,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,248,0,0
0,0,0,0,0,0,0,70,0,0,0,0,1,0,0,1,0,1,26,0,0,0,0,0,0,1,0,0,183,0,0
0,1,1,0,1,1,0,87,1,0,1,1,0,1,0,0,1,0,40,0,0,0,1,0,0,0,1,0,222,0,0
0,0,0,0,0,0,0,25,0,0,0,0,1,1,0,1,0,1,19,0,0,0,0,0,0,1,0,0,199,1,0
0,1,1,0,0,1,0,79,1,0,1,1,0,1,0,0,1,0,43,0,0,0,1,0,0,0,1,0,201,0,0
0,0,0,0,0,0,0,34,0,0,1,1,1,1,0,1,0,1,26,0,0,0,0,0,0,1,0,0,191,0,0
0,0,0,0,0,1,0,56,0,0,1,1,0,0,0,0,0,0,35,0,0,0,1,0,0,0,0,0,203,0,0
