n_api_calls,suspicious_getCellLocation,perm_android_permission_GET_TASKS,suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_USER_PRESENT,perm_android_permission_SEND_SMS,intent_com_google_android_c2dm_intent_RECEIVE,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,intent_com_google_firebase_INSTANCE_ID_EVENT,n_providers,perm_android_permission_ACCESS_WIFI_STATE,intent_com_google_firebase_MESSAGING_EVENT,perm_android_permission_ACCESS_FINE_LOCATION,perm_android_permission_WRITE_SETTINGS,perm_android_permission_RECEIVE_SMS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_com_android_vending_INSTALL_REFERRER,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_CHANGE_WIFI_STATE,n_permissions,n_services,suspicious_sendTextMessage,n_receivers,perm_android_permission_CHANGE_NETWORK_STATE,label
22,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,11,9,0,5,0,0
20,0,0,0,0,0,0,0,1,1,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,10,12,0,6,0,0
23,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,16,1,0,6,0,0
40,1,0,0,0,0,0,0,1,1,1,0,3,1,0,1,0,0,0,1,0,0,1,0,1,14,5,0,3,0,0
19,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,11,8,1,6,0,0
31,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,23,2,0,5,1,0
31,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,13,12,0,10,0,1
22,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,12,2,0,0,0,0
39,1,1,1,1,0,0,0,1,1,1,1,3,1,1,1,0,1,0,1,1,1,1,0,1,22,9,0,5,1,1
47,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11,5,0,3,0,1
33,0,0,0,1,0,0,0,1,1,1,1,3,0,1,0,0,0,0,1,0,0,1,1,0,9,14,0,7,0,0
23,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,12,8,0,3,0,0
24,0,1,0,0,0,0,0,1,1,1,1,4,1,1,1,0,1,0,0,1,1,1,0,0,18,10,0,5,0,0
35,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,16,2,0,0,0,1
20,0,0,0,0,0,0,0,1,1,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,7,10,0,5,0,0
35,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,7,1,0,1,0,1
24,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,11,6,0,7,0,0
24,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,21,3,0,2,1,1
31,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,18,1,0,0,0,1
34,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,24,2,0,1,1,1
40,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,10,6,0,3,0,1
40,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,10,6,0,3,0,1
23,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,12,9,0,7,0,0
31,0,1,0,0,0,0,0,1,1,1,0,4,1,1,0,0,0,0,1,0,0,1,0,0,12,10,0,6,0,0
25,0,0,0,1,0,0,0,1,1,1,1,3,1,1,0,0,0,0,0,0,0,1,0,0,10,8,0,5,0,0
35,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,16,2,0,0,0,1
36,1,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,8,1,1,2,0,1
39,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,17,6,0,5,0,1
27,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,11,0,0,0,0,0
30,1,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,8,8,0,3,0,0
26,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,20,9,0,9,0,1
44,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,17,9,0,5,0,0
26,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,12,2,0,2,0,0
24,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,23,1,0,0,0,0
39,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,8,1,0,1,0,1
39,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
37,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,6,0,0,2,0,0
38,1,0,0,1,0,0,0,1,1,1,1,2,1,1,1,0,0,0,1,1,0,1,0,0,20,15,0,9,0,0
37,1,0,0,1,0,0,0,1,1,1,1,2,1,0,0,0,0,0,1,0,0,1,0,0,15,8,0,6,0,0
19,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,7,9,0,7,0,0
37,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,11,0,1,0,0,1
24,0,0,0,0,0,0,0,1,1,1,1,3,0,1,0,0,0,0,1,0,0,1,0,0,9,7,0,3,0,0
24,0,0,0,0,0,0,0,1,1,1,1,3,0,1,0,0,0,0,1,0,0,1,0,0,9,7,0,3,0,0
38,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,16,2,0,3,0,1
39,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,26,12,0,7,0,0
40,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,18,6,1,5,0,1
36,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,25,10,0,2,0,1
40,1,0,0,0,0,1,0,1,1,1,0,2,1,0,1,0,0,0,0,1,0,1,0,0,10,9,0,8,0,1
42,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,20,0,0,0,0,1
38,0,0,0,0,0,0,0,1,1,1,1,2,0,1,1,0,0,0,0,1,0,1,0,0,13,10,0,5,0,0
22,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,7,8,0,5,0,0
25,0,0,0,0,0,0,0,1,1,1,1,4,0,1,0,0,0,0,1,0,0,1,0,0,10,6,0,4,0,0
46,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,10,2,0,0,0,1
31,1,0,1,0,0,0,0,1,1,0,1,2,1,1,0,1,0,0,0,0,0,1,0,1,18,6,0,8,1,0
42,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,9,4,1,1,0,1
42,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,13,3,1,5,0,0
18,0,0,0,0,0,0,0,1,1,1,1,2,0,1,0,0,0,0,0,0,0,1,0,0,8,10,0,5,0,0
20,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,18,2,0,1,1,1
20,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,19,14,0,9,0,1
42,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3,0,2,0,0
22,1,0,1,1,0,0,0,1,1,1,1,3,1,0,1,0,1,0,0,1,0,1,1,0,22,5,0,6,0,0
33,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,12,4,1,2,0,1
23,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0
43,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,16,3,0,9,0,1
24,0,0,0,0,0,0,0,1,1,1,1,3,0,1,0,0,0,0,1,0,0,1,0,0,9,7,0,3,0,0
26,0,0,0,0,0,0,0,1,1,1,1,4,0,0,1,0,0,0,1,1,0,1,0,0,16,13,0,9,0,0
35,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,1,0,0,0,1
27,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,13,7,0,3,0,0
32,1,0,1,0,0,0,0,1,1,1,1,3,0,1,1,0,0,0,0,1,0,1,0,0,31,14,1,8,0,0
32,1,0,1,0,0,0,0,1,1,1,1,3,0,1,1,0,0,0,0,1,0,1,0,0,31,14,1,8,0,0
32,1,0,1,0,0,0,0,1,1,1,1,3,0,1,1,0,0,0,0,1,0,1,0,0,31,14,1,8,0,0
32,1,0,1,0,0,0,0,1,1,1,1,3,0,1,1,0,0,0,0,1,0,1,0,0,31,14,1,8,0,0
31,0,0,0,0,0,0,0,1,1,1,1,5,0,1,0,0,0,0,1,0,0,1,0,0,26,16,0,8,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0
35,0,0,0,0,0,0,0,1,1,1,1,4,1,1,0,1,0,0,1,1,0,1,0,1,17,11,0,7,1,0
25,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,1,1,0,0,1
35,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,0,0
43,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,12,4,0,1,0,1
41,0,1,0,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,21,2,1,6,0,1
24,0,0,0,0,0,0,0,1,1,1,1,4,1,1,1,0,0,0,1,1,0,1,0,0,11,13,0,8,0,0
30,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,15,0,0,0,0,0
21,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,11,2,0,4,0,0
48,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,13,1,0,0,1,1
29,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,18,0,1,0,1,1
40,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,10,0,0,2,0,1
