intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_PACKAGE_REMOVED,intent_android_intent_action_PACKAGE_CHANGED,intent_android_intent_action_PACKAGE_ADDED,intent_android_intent_action_PACKAGE_RESTARTED,perm_android_permission_ACCESS_COARSE_LOCATION,n_api_calls,intent_android_intent_action_ACTION_POWER_CONNECTED,intent_android_intent_action_ACTION_POWER_DISCONNECTED,intent_android_intent_action_QUICKBOOT_POWERON,n_providers,n_used_permissions,suspicious_Ldalvik_system_PathClassLoader_,intent_com_android_vending_INSTALL_REFERRER,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_GET_TASKS,perm_android_permission_RECEIVE_BOOT_COMPLETED,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_com_google_android_c2dm_permission_RECEIVE,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_SEND_SMS,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,n_urls,n_permissions,n_receivers,n_services,intent_android_intent_action_BOOT_COMPLETED,intent_android_intent_action_VIEW,perm_android_permission_NFC,label
0,0,0,0,0,1,22,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,67,19,0,3,0,0,0,0
0,0,0,0,0,1,12,0,0,1,2,5,1,0,1,0,1,0,1,0,0,1,1,8,28,5,9,1,0,0,0
0,0,0,0,0,1,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,32,6,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0
0,0,0,0,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,5,1,0,1,0,0,0
0,0,0,0,0,1,59,0,0,1,2,20,1,1,1,0,1,1,1,1,0,1,1,132,57,27,39,1,1,1,0
0,0,0,0,0,0,22,0,0,0,1,10,1,1,1,0,0,0,1,0,0,1,1,35,5,4,5,0,0,0,0
0,0,0,0,0,1,14,0,0,0,3,5,0,0,1,0,0,0,1,0,0,0,0,49,7,6,7,0,1,0,1
0,0,0,0,0,0,18,0,0,0,1,7,1,1,1,0,0,0,1,0,0,1,1,34,6,4,5,0,0,0,0
0,0,0,0,0,0,13,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,22,5,0,0,0,0,0,0
0,0,0,0,0,0,26,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0
0,0,0,0,0,0,19,0,0,0,1,7,1,1,0,0,0,0,0,0,0,0,0,34,8,1,1,0,0,0,0
0,0,0,0,0,1,20,0,0,0,1,7,1,1,1,0,0,0,1,0,0,1,0,29,11,5,6,0,0,0,0
0,0,0,1,0,0,21,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,21,8,2,2,0,0,0,0
1,1,0,1,0,0,19,0,0,0,0,7,0,0,0,1,1,1,0,0,0,0,0,19,12,1,1,0,0,0,0
0,0,0,0,0,1,55,1,1,0,5,14,1,1,1,0,1,0,1,0,0,0,1,165,16,8,15,1,1,1,0
0,0,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,32,0,0,0,0,12,0,1,1,0,0,0,1,0,0,0,0,38,15,2,3,1,0,1,0
0,0,0,0,0,0,21,0,0,0,1,7,1,1,1,0,0,0,1,0,0,0,0,15,7,5,6,0,1,0,0
0,0,0,0,0,0,22,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0
0,0,0,0,0,0,18,0,0,0,1,7,1,1,1,0,0,0,1,0,0,1,0,17,5,4,2,0,0,0,0
0,0,0,0,0,0,29,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,38,3,0,0,0,0,0,0
0,0,0,0,0,0,23,0,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,39,10,0,2,0,0,0,1
0,0,0,1,0,0,47,0,0,0,3,12,1,1,1,0,0,1,1,0,0,1,1,125,11,9,9,0,0,0,0
0,0,0,0,0,0,35,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,73,4,1,2,0,0,0,0
1,0,0,1,0,1,44,0,0,1,1,17,1,1,0,0,1,0,1,0,0,0,0,175,9,7,12,1,0,0,0
0,0,0,0,0,0,21,0,0,0,1,8,0,0,1,0,1,0,1,0,0,1,1,17,12,3,5,0,0,0,1
0,0,0,0,0,1,20,0,0,0,2,8,1,1,1,0,0,0,1,0,0,1,1,33,9,5,9,0,0,0,0
0,0,0,0,0,0,17,0,0,0,2,6,1,1,1,0,0,0,1,0,0,1,1,6,22,6,6,0,0,0,1
0,0,0,0,0,1,20,0,0,0,3,7,1,1,1,0,0,0,1,0,0,1,1,7,25,6,6,0,1,0,0
0,0,0,1,0,1,23,1,1,0,0,12,1,0,0,1,1,1,0,0,0,0,0,696,23,4,3,1,0,0,0
0,0,0,0,0,0,25,0,0,0,4,11,1,1,1,0,1,0,1,0,0,1,1,18,30,11,6,1,0,0,0
0,0,0,0,0,0,19,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,24,0,0,0,1,12,1,0,0,0,0,0,0,0,0,0,0,42,6,0,0,0,0,0,0
0,0,0,0,0,0,18,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0
0,0,0,0,0,0,24,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,19,4,0,0,0,0,0,0
1,0,0,0,0,0,28,0,0,0,0,10,0,0,0,1,0,1,0,0,0,0,0,32,9,11,11,0,0,0,0
0,0,0,0,0,0,17,0,0,0,5,6,0,0,0,0,1,0,0,0,0,0,0,86,4,4,2,1,0,0,0
0,0,0,0,0,0,17,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
0,0,0,0,0,1,52,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,91,14,1,3,0,0,0,0
0,0,0,0,0,0,26,0,0,0,1,12,1,0,0,0,0,0,0,0,0,0,0,78,11,0,0,0,0,0,0
0,0,0,0,0,0,21,0,0,0,1,9,0,0,1,0,0,0,1,0,0,0,0,27,17,3,3,0,0,0,0
0,0,0,0,0,0,17,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,12,0,0,0,1,6,1,0,0,0,0,0,0,0,0,0,0,24,11,0,1,0,0,0,0
0,0,0,0,0,0,15,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,23,2,0,1,0,0,0,0
0,0,0,0,0,0,20,0,0,0,3,10,1,1,1,0,0,0,1,0,0,1,0,70,9,6,12,0,1,0,0
0,0,0,0,0,1,31,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,166,8,2,3,0,0,0,0
