cluster_id,feature,aggregated_score,method_count,rank_mean,rank_std,top_methods,entropy_reduction_ratio,entropy_reduction_ratio_norm,entropy_reduction_ratio_rank,mutual_information,mutual_information_norm,mutual_information_rank,chi2_stat,chi2_stat_norm,chi2_stat_rank,f_stat,f_stat_norm,f_stat_rank,pearson_r,pearson_r_norm,pearson_r_rank
44,perm_android.permission.ACCESS_WIFI_STATE,0.1007619532407856,0,232.0,431.66943371056516,,0.08833696213204376,0.24705428062486962,10.0,0.0031712217442684265,0.07849641320413328,135.0,1.2555331991951708,0.05217003567181927,8.0,2.150533374586359,0.08112932632267461,9.0,-0.06557264086584014,0.044959710380431284,998.0
44,intent_com.adroid.SERVICE,0.09914725301065161,0,426.0,228.14578672419088,,0.0,0.0,546.0,0.00949825061703935,0.2351076857047514,22.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,intent_android.appwidget.action.APPWIDGET_UPDATE,0.09851480067691497,0,224.2,415.9353315120032,,0.0019808908889214654,0.005540009094124468,46.0,0.010167777221228635,0.2516803006814838,20.0,0.03621730382293763,0.0015049048751486333,41.0,0.03651349887006264,0.0014160948968559306,46.0,-0.00856238169018269,0.23243269383696202,968.0
44,perm_com.samsung.android.scloud.backup.lib.read,0.09733629887960246,0,426.2,227.7030961581331,,0.0,0.0,546.0,0.009132441729484131,0.22605291504950573,23.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,perm_android.permission.DOWNLOAD_CACHE_NON_PURGEABLE,0.09723967281738514,0,426.4,227.26042330331077,,0.0,0.0,546.0,0.009112923470174006,0.22556978473841913,24.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,intent_io.intercom.android.sdk.INTERCOM_PUSH_OPENED,0.09721240002403372,0,426.6,226.81776826342332,,0.0,0.0,546.0,0.009107414423851212,0.22543342077166204,25.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,perm_com.xiaomi.permission.AUTH_SERVICE,0.09714348330371636,0,426.8,226.3751311429769,,0.0,0.0,546.0,0.009093493392743346,0.22508883717007516,26.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,intent_com.igexin.sdk.action.64kVIzqls49c7TJxrBbWG4,0.09328036596272149,0,427.0,225.93251204729256,,0.0,0.0,546.0,0.008313151896083837,0.20577325046510087,27.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,intent_com.qihoo.appstore.ACTION_STABLE_NOTIFICATION_CLICK,0.0931081668512147,0,427.2,225.48991108251383,,0.0,0.0,546.0,0.008278368041353179,0.2049122549075669,28.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,intent_android.net.VpnService,0.09277266039448526,0,427.4,225.04732835561498,,0.0,0.0,546.0,0.00821059644979294,0.20323472262391967,29.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,intent_com.qihoo.appstore.checkupdate.RESTART_ALL_DOWNLOAD,0.0922304106862328,0,427.8,224.1622180475559,,0.0,0.0,546.0,0.008101063160599109,0.20052347408265747,31.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,intent_androidx.work.impl.background.systemalarm.UpdateProxies,0.09136702194315963,0,428.0,223.71969068457074,,0.0,0.0,546.0,0.007926660468550617,0.19620653036729147,32.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,perm_com.yulong3.android.launcher.permission.READ_SETTINGS,0.09124463825675841,0,428.2,223.27718199583222,,0.0,0.0,546.0,0.007901939223870946,0.1955946119352855,33.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,intent_android.intent.action.PACKAGE_REMOVED,0.0905137193218484,0,239.4,386.64088635321536,,0.00032848719600359793,0.0009186886886809886,80.0,0.008159926770101245,0.20198050944214233,30.0,0.006036217303822938,0.0002508174791914389,77.5,0.006024145989544602,0.00026643454119598746,79.5,-0.0034780206818494645,0.24915214645803127,930.0
44,perm_com.oppo.launcher.permission.WRITE_SETTINGS,0.09008685113922058,0,428.4,222.83469209259138,,0.0,0.0,546.0,0.007668068685555918,0.1898056763475962,34.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,perm_android.permission.INTERACT_ACROSS_USERS_FULL,0.08991586285832527,0,428.6,222.3922210869796,,0.0,0.0,546.0,0.007633529416036677,0.18895073494311973,35.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,intent_com.qihoo360.daemon.pcdaemon.NotifyServiceStart2,0.0897539635941848,0,428.8,221.94976909201776,,0.0,0.0,546.0,0.007600826108594583,0.1881412386224174,36.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
44,perm_android.permission.WRITE_EXTERNAL_STORAGE,0.08972148203665534,0,343.9,472.5860239152233,,0.09641700453381744,0.2696519454619823,9.0,0.0,0.0,697.5,1.340040241448692,0.05568148038049942,7.0,2.412127692295255,0.09099324890294026,7.0,-0.06942829854104623,0.03228073543785468,999.0
44,intent_android.net.ConnectivityManager.CONNECTIVITY_ACTION,0.08913663724374095,0,429.0,221.50733622162494,,0.0,0.0,546.0,0.007476127497159535,0.18505460687019812,37.0,0.0,0.0,546.0,0.0,3.9282399003011045e-05,545.0,0.0,0.2605892969495036,471.0
